ID,EarthquakeName,Starttime,Mw,HypLat,HypLon,Etype,Depth,Station,StaLat,StaLon,Rhyp,Repi,Rrup,Rjb,Vs30,Az
24,19850409_7.1Mw_34.131S_71.618W_37KM,1985-04-09 00:00:00.000000,7.1,-34.131,-71.618,interface,37,VALP13S,-32.751008,-71.482909,157.5281694,153.5726984,139.6236329,134.3293325,219,0
25,19850409_7.1Mw_34.131S_71.618W_37KM,1985-04-09 00:00:00.000000,7.1,-34.131,-71.618,interface,37,STGO03S,-33.44416667,-70.645,123.3357271,117.9997553,100.932266,90.88433451,412,0
26,19960222_5.9Mw_33.22S_71.22W_46KM,1996-02-22 11:39:39.120,5.9,-33.22,-71.22,interface,46,SANTIAGO CENTRO,-33.4666,-70.6521,75.05484993,59.52148267,75.05484993,59.52148267,343,0
27,19970324_5.3Mw_33.16S_70.28W_80KM,1997-03-24 21:18:12.080,5.3,-33.16,-70.28,interface,80,SANTIAGO CENTRO,-33.4666,-70.6521,93.42044137,48.54886301,93.42044137,48.54886301,343,0
28,19971014_6.8Mw_30.27S_71.12W_55KM,1997-10-14 00:00:00.000,6.8,-30.27,-71.12,interface,55,SERE02R,-31.6358,-71.1694,160.5516567,151.4979883,160.5516567,151.4979883,502,150
29,19971014_6.8Mw_30.27S_71.12W_55KM,1997-10-14 21:06:35.390,6.8,-30.27,-71.12,interface,55,SANTIAGO CENTRO,-33.4666,-70.6521,359.8386935,357.2069688,359.8386935,357.2069688,343,0
30,19981029_5Mw_32.31S_70.24W_89KM,1998-10-29 15:49:15.300,5,-32.31,-70.24,interface,89,VINA DEL MAR EL SALTO CERRO,-33.0472,-71.5099,168.8131091,144.4614784,168.8131091,144.4614784,477,0
31,19990801_5.1Mw_33.04S_70.13W_98KM,1999-08-01 21:08:05.600,5.1,-33.04,-70.13,interface,98,SANTIAGO LA FLORIDA,-33.5139,-70.6053,119.3918282,68.72519531,119.3918282,68.72519531,598,321
32,19991104_4.7Mw_32.24S_71.25W_30KM,1999-11-04 02:40:20.600,4.7,-32.24,-71.25,interface,30,VINA DEL MAR EL SALTO CERRO,-33.0472,-71.5099,97.29926512,92.77892237,97.29926512,92.77892237,477,0
33,19991130_6.6Mw_18.28S_69.01W_128KM,1999-11-30 04:02:18.400,6.6,-18.28,-69.01,interface,128,ARICA,-18.4824,-70.3134,188.3234862,139.5465096,188.3234862,139.5465096,387,10
34,20000616_6.4Mw_33.32S_70.07W_112KM,2000-06-16 04:51:25.700,6.4,-33.32,-70.07,interface,112,SANTIAGO LA FLORIDA,-33.5139,-70.6053,124.2327157,54.23488075,124.2327157,54.23488075,598,321
