B      : 8        # foundation width
L      : 14       # foundation length
Df     : 1.5      # foundation embedment depth
Q      : 50 0.2   # Foundation bearing pressure q (kPa) and coefficient of variation covQ and number of percentiles
type   : Masonry  # building type (masonty,steel, timber, reinforced concrete)
wt     : 2        # Water table depth

# Soil Parameters (for Bullock et al. 2018)
LPC   : Yes      # Low permeability cap present above top susceptible layer?    
th1   : 2        # Non-susceptible crust thickness
th2   : 6        # Maximum continuous thickness of susceptible material in top B
N1    : 1        # Number of susceptible layers in top B    
N2    : 2        # Number of non-susceptible layers in top B
meth  : CPT      # Soil profile testing method
N160  : 9   0   0   0   0   0   0   0   0   0
qc1N  : nan nan nan nan nan nan nan nan nan nan
thick : 6   0   0   0   0   0   0   0   0   0
d2mat : 3.5 0   0   0   0   0   0   0   0   0

# CPT LOG (For Macedo, Bray 2017)
Depth qc fs u2
8.55 20.01 0.12 0.00
8.56 20.03 0.13 0.00
8.57 20.45 0.10 0.00
8.58 20.12 0.08 0.00
8.59 19.73 0.06 0.00
8.6 19.48 0.06 0.00
8.61 20.97 0.06 0.00
8.62 22.14 0.05 0.00
8.63 21.67 0.03 0.00
8.64 22.63 0.02 0.00
8.65 22.35 0.00 0.00
8.66 23.16 0.00 0.00
8.67 24.14 0.00 0.00
8.68 23.89 0.00 0.00
8.69 23.33 0.00 0.00
8.7 22.78 0.00 0.00
8.71 22.22 0.00 0.00
8.72 22.84 0.00 0.00
8.73 23.15 0.00 0.00
8.74 22.77 0.00 0.00
8.75 22.39 0.02 0.00
8.76 21.66 0.02 0.00
8.77 22.43 0.02 0.00
8.78 24.68 0.02 0.00
8.79 25.52 0.06 0.00
8.8 26.54 0.07 0.00
8.81 26.30 0.08 0.00
8.82 27.05 0.08 0.00
8.83 28.30 0.08 0.00
8.84 30.04 0.08 0.00
8.85 31.44 0.07 0.00
8.86 33.43 0.06 0.00
8.87 34.05 0.06 0.00
8.88 35.38 0.07 0.00
8.89 37.94 0.08 0.00
8.9 40.76 0.08 0.00
8.91 42.05 0.08 0.00
8.92 42.78 0.08 0.00
8.93 44.24 0.08 0.00
8.94 45.57 0.09 0.00
8.95 46.55 0.10 0.00
8.96 47.59 0.11 0.00
8.97 47.91 0.14 0.00
8.98 48.32 0.10 0.00
8.99 48.24 0.02 0.00
9 46.25 0.02 0.00
9.01 46.42 0.03 0.00
9.02 47.46 0.04 0.00
9.03 47.01 0.05 0.00
9.04 47.36 0.10 0.00
9.05 47.61 0.10 0.00
9.06 46.51 0.10 0.00
9.07 46.87 0.10 0.00
9.08 47.77 0.10 0.00
9.09 48.30 0.10 0.00
9.1 45.79 0.08 0.00
9.11 45.58 0.07 0.00
9.12 45.38 0.10 0.00
9.13 45.17 0.13 0.00
9.14 46.30 0.16 0.00
9.15 46.55 0.19 0.00
9.16 45.97 0.17 0.00
9.17 45.37 0.16 0.00
9.18 44.94 0.15 0.00
9.19 44.89 0.15 0.00
9.2 45.56 0.15 0.00
9.21 44.26 0.10 0.00
9.22 44.39 0.06 0.00
9.23 42.81 0.08 0.00
9.24 42.41 0.10 0.00
9.25 40.01 0.12 0.00
9.26 39.38 0.17 0.00
9.27 38.74 0.29 0.00
9.28 38.11 0.32 0.00
9.29 40.17 0.30 0.00
9.3 40.43 0.30 0.00
9.31 39.54 0.30 0.00
9.32 40.42 0.30 0.00
9.33 41.83 0.22 0.00
9.34 41.46 0.21 0.00
9.35 39.54 0.21 0.00
9.36 40.11 0.20 0.00
9.37 40.22 0.19 0.00
9.38 40.32 0.19 0.00
9.39 38.43 0.19 0.00
9.4 38.18 0.17 0.00
9.41 37.08 0.18 0.00
9.42 37.57 0.12 0.00
9.43 38.70 0.06 0.00
9.44 38.97 0.08 0.00
9.45 37.36 0.10 0.00
9.46 36.17 0.11 0.00
9.47 35.62 0.12 0.00
9.48 34.96 0.10 0.00
9.49 34.31 0.10 0.00
9.5 33.65 0.11 0.00
9.51 33.11 0.11 0.00
9.52 31.46 0.12 0.00
9.53 30.88 0.13 0.00
9.54 30.79 0.14 0.00
9.55 31.20 0.12 0.00
9.56 30.99 0.12 0.00
9.57 28.75 0.12 0.00
9.58 26.52 0.12 0.00
9.59 26.13 0.11 0.00
9.6 25.75 0.11 0.00
9.61 25.36 0.10 0.00
9.62 23.99 0.13 0.00
9.63 22.85 0.17 0.00
9.64 21.38 0.20 0.00
9.65 21.07 0.20 0.00
9.66 21.14 0.21 0.00
9.67 21.47 0.21 0.00
9.68 21.06 0.23 0.00
9.69 20.56 0.25 0.00
9.7 20.80 0.27 0.00
9.71 21.77 0.28 0.00
9.72 23.78 0.27 0.00
9.73 25.23 0.25 0.00
9.74 26.21 0.21 0.00
9.75 27.74 0.18 0.00
9.76 28.27 0.16 0.00
9.77 29.18 0.14 0.00
9.78 30.64 0.12 0.00
9.79 31.28 0.13 0.00
9.8 31.54 0.13 0.00
9.81 31.02 0.14 0.00
9.82 32.40 0.14 0.00
9.83 31.86 0.12 0.00
9.84 29.72 0.10 0.00
9.85 27.37 0.11 0.00
9.86 25.92 0.12 0.00
9.87 25.05 0.12 0.00
9.88 24.34 0.12 0.00
9.89 23.79 0.12 0.00
9.9 21.44 0.13 0.00
9.91 18.81 0.13 0.00
9.92 18.39 0.14 0.00
9.93 17.61 0.13 0.00
9.94 16.40 0.12 0.00
9.95 14.92 0.12 0.00
9.96 14.18 0.17 0.00
9.97 14.20 0.17 0.00
9.98 13.82 0.17 0.00
9.99 13.16 0.17 0.00
10 13.06 0.17 0.00
10.01 13.03 0.16 0.00
10.02 12.87 0.16 0.00
10.03 12.67 0.16 0.00
10.04 12.49 0.15 0.00
10.05 12.22 0.14 0.00
10.06 12.06 0.14 0.00
10.07 11.88 0.13 0.00
10.08 11.82 0.12 0.00
10.09 11.76 0.12 0.00
10.1 11.60 0.08 0.00
10.11 11.29 0.07 0.00
10.12 10.99 0.06 0.00
10.13 10.68 0.04 0.00
10.14 10.64 0.04 0.00
10.15 10.58 0.04 0.00
10.16 10.58 0.03 0.00
10.17 10.62 0.03 0.00
10.18 10.63 0.03 0.00
10.19 10.63 0.03 0.00
10.2 10.61 0.03 0.00
10.21 10.57 0.03 0.00
10.22 10.54 0.03 0.00
10.23 10.52 0.03 0.00
10.24 10.53 0.03 0.00
10.25 10.58 0.03 0.00
10.26 10.74 0.03 0.00
10.27 10.82 0.03 0.00
10.28 10.92 0.03 0.00
10.29 10.99 0.03 0.00
10.3 11.06 0.03 0.00
10.31 11.08 0.03 0.00
10.32 11.13 0.04 0.00
10.33 11.22 0.04 0.00
10.34 11.30 0.04 0.00
10.35 11.42 0.04 0.00
10.36 11.59 0.04 0.00
10.37 11.68 0.05 0.00
10.38 11.80 0.05 0.00
10.39 11.98 0.05 0.00
10.4 12.24 0.05 0.00
10.41 12.89 0.05 0.00
10.42 12.83 0.05 0.00
10.43 12.38 0.06 0.00
10.44 12.11 0.06 0.00
10.45 12.20 0.07 0.00
10.46 12.33 0.06 0.00
10.47 12.25 0.06 0.00
10.48 12.18 0.06 0.00
10.49 12.27 0.05 0.00
10.5 12.21 0.05 0.00
10.51 12.13 0.05 0.00
10.52 12.16 0.05 0.00
10.53 12.16 0.05 0.00
10.54 12.03 0.04 0.00
10.55 11.97 0.05 0.00
10.56 11.97 0.05 0.00
10.57 11.96 0.05 0.00
10.58 12.01 0.05 0.00
10.59 12.05 0.04 0.00
10.6 12.16 0.04 0.00
10.61 12.27 0.04 0.00
10.62 12.33 0.04 0.00
10.63 12.44 0.04 0.00
10.64 12.64 0.04 0.00
10.65 12.83 0.04 0.00
10.66 13.04 0.04 0.00
10.67 13.28 0.04 0.00
10.68 13.51 0.04 0.00
10.69 13.90 0.05 0.00
10.7 14.17 0.05 0.00
10.71 14.47 0.05 0.00
10.72 14.78 0.05 0.00
10.73 15.04 0.05 0.00
10.74 15.35 0.06 0.00
10.75 15.58 0.06 0.00
10.76 15.80 0.06 0.00
10.77 15.99 0.06 0.00
10.78 16.26 0.06 0.00
10.79 16.42 0.06 0.00
10.8 16.58 0.06 0.00
10.81 16.72 0.06 0.00
10.82 16.94 0.06 0.00
10.83 17.08 0.07 0.00
10.84 17.20 0.07 0.00
10.85 17.36 0.07 0.00
10.86 17.45 0.07 0.00
10.87 17.61 0.07 0.00
10.88 17.72 0.07 0.00
10.89 17.80 0.07 0.00
10.9 17.90 0.07 0.00
10.91 18.02 0.06 0.00
10.92 18.13 0.06 0.00
10.93 18.17 0.06 0.00
10.94 18.19 0.06 0.00
10.95 18.24 0.06 0.00
10.96 18.33 0.06 0.00
10.97 18.33 0.06 0.00
10.98 18.33 0.06 0.00
10.99 18.35 0.06 0.00
11 18.33 0.06 0.00
11.01 18.32 0.06 0.00
11.02 18.33 0.06 0.00
11.03 18.33 0.06 0.00
11.04 18.29 0.07 0.00
11.05 18.27 0.07 0.00
11.06 18.26 0.07 0.00
11.07 18.23 0.07 0.00
11.08 18.20 0.07 0.00
11.09 18.18 0.07 0.00
11.1 18.12 0.07 0.00
11.11 17.93 0.07 0.00
11.12 17.73 0.07 0.00
11.13 17.54 0.07 0.00
11.14 17.46 0.07 0.00
11.15 17.30 0.07 0.00
11.16 17.08 0.07 0.00
11.17 16.61 0.07 0.00
11.18 16.26 0.07 0.00
11.19 15.85 0.07 0.00
11.2 15.46 0.07 0.00
11.21 14.86 0.07 0.00
11.22 14.54 0.08 0.00
11.23 14.23 0.07 0.00
11.24 13.93 0.07 0.00
11.25 13.61 0.07 0.00
11.26 13.23 0.08 0.00
11.27 13.03 0.07 0.00
11.28 12.96 0.07 0.00
11.29 12.95 0.07 0.00
11.3 13.04 0.07 0.00
11.31 13.21 0.07 0.00
11.32 13.41 0.07 0.00
11.33 13.65 0.07 0.00
11.34 13.82 0.07 0.00
11.35 14.08 0.06 0.00
11.36 14.19 0.06 0.00
11.37 14.36 0.06 0.00
11.38 14.51 0.05 0.00
11.39 14.71 0.05 0.00
11.4 14.83 0.05 0.00
11.41 14.97 0.05 0.00
11.42 15.08 0.05 0.00
11.43 15.20 0.05 0.00
11.44 15.24 0.05 0.00
11.45 15.27 0.06 0.00
11.46 15.28 0.06 0.00
11.47 15.25 0.06 0.00
11.48 15.16 0.06 0.00
11.49 15.03 0.06 0.00
11.5 14.84 0.06 0.00
11.51 14.50 0.07 0.00
11.52 14.24 0.07 0.00
11.53 14.02 0.07 0.00
11.54 13.78 0.07 0.00
11.55 13.54 0.07 0.00
11.56 13.27 0.07 0.00
11.57 13.10 0.07 0.00
11.58 13.01 0.07 0.00
11.59 13.04 0.07 0.00
11.6 13.14 0.07 0.00
11.61 13.04 0.07 0.00
11.62 13.01 0.07 0.00
11.63 13.02 0.07 0.00
11.64 13.05 0.06 0.00
11.65 13.02 0.06 0.00
11.66 13.00 0.06 0.00
11.67 12.97 0.06 0.00
11.68 12.89 0.06 0.00
11.69 12.82 0.05 0.00
11.7 12.77 0.05 0.00
11.71 12.71 0.05 0.00
11.72 12.62 0.05 0.00
11.73 12.56 0.05 0.00
11.74 12.51 0.06 0.00
11.75 12.45 0.06 0.00
11.76 12.41 0.06 0.00
11.77 12.37 0.06 0.00
11.78 12.36 0.06 0.00
11.79 12.38 0.06 0.00
11.8 12.40 0.06 0.00
11.81 12.44 0.06 0.00
11.82 12.50 0.06 0.00
11.83 12.55 0.06 0.00
11.84 12.61 0.06 0.00
11.85 12.71 0.06 0.00
11.86 12.77 0.06 0.00
11.87 12.81 0.06 0.00
11.88 12.84 0.06 0.00
11.89 12.93 0.06 0.00
11.9 13.00 0.06 0.00
11.91 13.09 0.06 0.00
11.92 13.18 0.06 0.00
11.93 13.21 0.05 0.00
11.94 13.26 0.06 0.00
11.95 13.31 0.06 0.00
11.96 13.37 0.06 0.00
11.97 13.40 0.06 0.00
11.98 13.45 0.06 0.00
11.99 13.42 0.06 0.00
12 13.41 0.06 0.00
12.01 13.41 0.06 0.00
12.02 13.33 0.06 0.00
12.03 13.30 0.06 0.00
12.04 13.23 0.06 0.00
12.05 13.11 0.06 0.00
12.06 12.98 0.06 0.00
12.07 12.72 0.06 0.00
12.08 12.55 0.06 0.00
12.09 12.37 0.06 0.00
12.1 12.18 0.06 0.00
12.11 11.90 0.06 0.00
12.12 11.64 0.06 0.00
12.13 11.39 0.06 0.00
12.14 11.13 0.06 0.00
12.15 10.80 0.06 0.00
12.16 10.57 0.06 0.00
12.17 10.36 0.06 0.00
12.18 10.23 0.06 0.00
12.19 10.06 0.06 0.00
12.2 9.93 0.06 0.00
12.21 9.91 0.06 0.00
12.22 9.86 0.06 0.00
12.23 9.85 0.05 0.00
12.24 9.83 0.05 0.00
12.25 9.82 0.05 0.00
12.26 9.82 0.05 0.00
12.27 9.82 0.05 0.00
12.28 9.80 0.05 0.00
12.29 9.75 0.05 0.00
12.3 9.73 0.04 0.00
12.31 9.69 0.04 0.00
12.32 9.68 0.04 0.00
12.33 9.66 0.04 0.00
12.34 9.66 0.04 0.00
12.35 9.66 0.04 0.00
12.36 9.68 0.04 0.00
12.37 9.71 0.04 0.00
12.38 9.76 0.04 0.00
12.39 9.78 0.04 0.00
12.4 9.82 0.04 0.00
12.41 9.85 0.04 0.00
12.42 9.88 0.04 0.00
12.43 9.97 0.04 0.00
12.44 10.02 0.04 0.00
12.45 10.07 0.04 0.00
12.46 10.12 0.04 0.00
12.47 10.19 0.04 0.00
12.48 10.24 0.04 0.00
12.49 10.30 0.04 0.00
12.5 10.35 0.04 0.00
12.51 10.41 0.04 0.00
12.52 10.48 0.04 0.00
12.53 10.56 0.04 0.00
12.54 10.63 0.04 0.00
12.55 10.71 0.04 0.00
12.56 10.82 0.04 0.00
12.57 10.99 0.04 0.00
12.58 11.11 0.04 0.00
12.59 11.25 0.05 0.00
12.6 11.37 0.05 0.00
12.61 11.51 0.05 0.00
12.62 11.57 0.05 0.00
12.63 11.58 0.05 0.00
12.64 11.59 0.05 0.00
12.65 11.54 0.05 0.00
12.66 11.45 0.05 0.00
12.67 11.41 0.05 0.00
12.68 11.42 0.05 0.00
12.69 11.48 0.05 0.00
12.7 11.54 0.06 0.00
12.71 11.53 0.06 0.00
12.72 11.46 0.06 0.00
12.73 11.36 0.06 0.00
12.74 11.28 0.06 0.00
12.75 11.27 0.07 0.00
12.76 11.31 0.07 0.00
12.77 11.35 0.07 0.00
12.78 11.39 0.07 0.00
12.79 11.38 0.07 0.00
12.8 11.35 0.07 0.00
12.81 11.30 0.07 0.00
12.82 11.33 0.07 0.00
12.83 11.31 0.07 0.00
12.84 11.26 0.07 0.00
12.85 11.23 0.07 0.00
12.86 11.18 0.07 0.00
12.87 11.15 0.07 0.00
12.88 11.15 0.07 0.00
12.89 11.14 0.07 0.00
12.9 11.11 0.07 0.00
12.91 11.09 0.07 0.00
12.92 11.02 0.07 0.00
12.93 10.97 0.07 0.00
12.94 10.83 0.07 0.00
12.95 10.75 0.07 0.00
12.96 10.67 0.07 0.00
12.97 10.59 0.07 0.00
12.98 10.49 0.07 0.00
12.99 10.42 0.07 0.00
13 10.37 0.07 0.00
13.01 10.32 0.07 0.00
13.02 10.30 0.07 0.00
13.03 10.29 0.07 0.00
13.04 10.29 0.07 0.00
13.05 10.30 0.07 0.00
13.06 10.31 0.07 0.00
13.07 10.33 0.07 0.00
13.08 10.36 0.07 0.00
13.09 10.37 0.07 0.00
13.1 10.39 0.07 0.00
13.11 10.41 0.07 0.00
13.12 10.50 0.07 0.00
13.13 10.60 0.07 0.00
13.14 10.69 0.07 0.00
13.15 11.17 0.07 0.00
13.16 11.92 0.06 0.00
13.17 13.65 0.06 0.00
13.18 15.27 0.06 0.00
13.19 17.88 0.06 0.00
13.2 21.06 0.06 0.00
13.21 22.33 0.07 0.00
13.22 24.70 0.09 0.00
13.23 27.78 0.12 0.00
13.24 30.42 0.13 0.00
13.25 29.57 0.14 0.00
13.26 28.72 0.15 0.00
13.27 27.87 0.15 0.00
13.28 31.60 0.16 0.00
13.29 31.12 0.18 0.00
13.3 32.85 0.20 0.00
13.31 32.34 0.21 0.00
13.32 35.77 0.14 0.00
13.33 36.92 0.08 0.00
13.34 36.63 0.10 0.00
13.35 35.57 0.15 0.00
13.36 34.51 0.20 0.00
13.37 33.45 0.26 0.00
13.38 37.05 0.47 0.00
13.39 39.39 0.49 0.00
13.4 41.86 0.46 0.00
13.41 39.84 0.47 0.00
13.42 36.03 0.53 0.00
13.43 33.26 0.59 0.00
13.44 29.91 0.65 0.00
13.45 30.88 0.61 0.00
13.46 29.60 0.57 0.00
13.47 27.30 0.53 0.00
13.48 26.84 0.51 0.00
13.49 25.28 0.50 0.00
13.5 23.43 0.49 0.00
13.51 20.46 0.32 0.00
13.52 19.03 0.20 0.00
13.53 17.28 0.19 0.00
13.54 14.48 0.19 0.00
13.55 14.10 0.18 0.00
13.56 13.71 0.21 0.00
13.57 13.33 0.21 0.00
13.58 11.25 0.18 0.00
13.59 9.51 0.17 0.00
13.6 8.20 0.17 0.00
13.61 5.54 0.16 0.00
13.62 5.15 0.16 0.00
13.63 4.72 0.18 0.00
13.64 4.14 0.22 0.00
13.65 3.22 0.25 0.00
13.66 2.42 0.27 0.00
13.67 1.64 0.33 0.00
13.68 1.47 0.30 0.00
13.69 1.45 0.26 0.00
13.7 1.40 0.24 0.00
13.71 1.40 0.23 0.00
13.72 1.39 0.21 0.00
13.73 1.43 0.20 0.00
13.74 1.44 0.21 0.00
13.75 1.40 0.16 0.00
13.76 1.40 0.12 0.00
13.77 1.46 0.09 0.00
13.78 1.47 0.08 0.00
13.79 1.46 0.07 0.00
13.8 1.43 0.06 0.00
13.81 1.41 0.03 0.00
13.82 1.40 0.02 0.00
13.83 1.38 0.02 0.00
13.84 1.41 0.02 0.00
13.85 1.45 0.02 0.00
13.86 1.43 0.02 0.00
13.87 1.41 0.02 0.00
13.88 1.42 0.02 0.00
13.89 1.48 0.02 0.00
13.9 1.53 0.02 0.00
13.91 1.56 0.02 0.00
13.92 1.58 0.02 0.00
13.93 1.56 0.02 0.00
13.94 1.63 0.02 0.00
13.95 1.88 0.02 0.00
13.96 2.28 0.02 0.00
13.97 2.79 0.02 0.00
13.98 3.70 0.02 0.00
13.99 4.01 0.02 0.00
14 4.17 0.03 0.00
14.01 4.07 0.03 0.00
14.02 3.88 0.03 0.00
14.03 3.70 0.04 0.00
14.04 3.59 0.05 0.00
14.05 3.60 0.06 0.00
14.06 3.61 0.06 0.00
14.07 3.61 0.06 0.00
14.08 3.53 0.06 0.00
14.09 3.53 0.05 0.00
14.1 3.64 0.05 0.00
14.11 3.99 0.05 0.00
14.12 4.53 0.04 0.00
14.13 4.71 0.04 0.00
14.14 4.54 0.06 0.00
14.15 4.33 0.06 0.00
14.16 4.13 0.05 0.00
14.17 3.92 0.05 0.00
14.18 3.81 0.05 0.00
14.19 3.92 0.05 0.00
14.2 3.76 0.06 0.00
14.21 3.19 0.08 0.00
14.22 3.14 0.09 0.00
14.23 3.09 0.08 0.00
14.24 3.04 0.07 0.00
14.25 2.98 0.07 0.00
14.26 2.93 0.08 0.00
14.27 4.16 0.09 0.00
14.28 6.24 0.10 0.00
14.29 9.05 0.10 0.00
14.3 11.87 0.08 0.00
14.31 14.64 0.07 0.00
14.32 15.76 0.07 0.00
14.33 16.70 0.07 0.00
14.34 17.49 0.08 0.00
14.35 18.21 0.09 0.00
14.36 19.11 0.09 0.00
14.37 19.64 0.08 0.00
14.38 20.14 0.08 0.00
14.39 20.60 0.09 0.00
14.4 21.02 0.09 0.00
14.41 21.62 0.10 0.00
14.42 21.95 0.10 0.00
14.43 22.19 0.10 0.00
14.44 22.34 0.11 0.00
14.45 22.46 0.12 0.00
14.46 22.56 0.13 0.00
14.47 22.64 0.14 0.00
14.48 22.66 0.14 0.00
14.49 22.62 0.15 0.00
14.5 22.51 0.16 0.00
14.51 22.38 0.17 0.00
14.52 22.31 0.18 0.00
14.53 22.26 0.18 0.00
14.54 22.27 0.19 0.00
14.55 22.28 0.20 0.00
14.56 22.25 0.20 0.00
14.57 22.24 0.20 0.00
14.58 22.16 0.20 0.00
14.59 22.14 0.19 0.00
14.6 22.18 0.19 0.00
14.61 22.26 0.19 0.00
14.62 22.35 0.19 0.00
14.63 22.43 0.19 0.00
14.64 22.51 0.19 0.00
14.65 22.50 0.19 0.00
14.66 22.41 0.19 0.00
14.67 22.16 0.19 0.00
14.68 21.95 0.19 0.00
14.69 21.77 0.19 0.00
14.7 21.60 0.19 0.00
14.71 21.44 0.19 0.00
14.72 21.21 0.19 0.00
14.73 21.04 0.19 0.00
14.74 20.85 0.19 0.00
14.75 20.63 0.19 0.00
14.76 20.24 0.19 0.00
14.77 20.02 0.19 0.00
14.78 19.71 0.19 0.00
14.79 19.49 0.19 0.00
14.8 19.21 0.19 0.00
14.81 19.13 0.19 0.00
14.82 19.16 0.18 0.00
14.83 19.20 0.18 0.00
14.84 19.30 0.18 0.00
14.85 19.37 0.18 0.00
14.86 19.33 0.18 0.00
14.87 19.21 0.18 0.00
14.88 18.84 0.18 0.00
14.89 18.56 0.18 0.00
14.9 18.20 0.17 0.00
14.91 17.80 0.18 0.00
14.92 17.11 0.18 0.00
14.93 16.61 0.18 0.00
14.94 16.07 0.18 0.00
14.95 15.52 0.18 0.00
14.96 15.00 0.18 0.00
14.97 14.31 0.19 0.00
14.98 13.95 0.19 0.00
14.99 13.63 0.19 0.00
15 13.39 0.19 0.00
15.01 13.13 0.18 0.00
15.02 12.99 0.18 0.00
15.03 12.91 0.18 0.00
15.04 12.82 0.17 0.00
15.05 12.77 0.17 0.00
15.06 12.78 0.16 0.00
15.07 12.85 0.16 0.00
15.08 12.97 0.15 0.00
15.09 13.27 0.14 0.00
15.1 13.60 0.13 0.00
15.11 14.09 0.13 0.00
15.12 14.72 0.12 0.00
15.13 15.27 0.11 0.00
15.14 15.81 0.10 0.00
15.15 16.36 0.09 0.00
15.16 17.03 0.09 0.00
15.17 17.63 0.09 0.00
15.18 17.98 0.08 0.00
15.19 18.09 0.08 0.00
15.2 18.19 0.09 0.00
15.21 18.23 0.09 0.00
15.22 18.15 0.09 0.00
15.23 18.10 0.09 0.00
15.24 17.96 0.10 0.00
15.25 17.89 0.10 0.00
15.26 17.75 0.11 0.00
15.27 17.63 0.11 0.00
15.28 17.53 0.12 0.00
15.29 17.50 0.12 0.00
15.3 17.56 0.12 0.00
15.31 17.78 0.13 0.00
15.32 17.96 0.13 0.00
15.33 18.14 0.13 0.00
15.34 18.48 0.13 0.00
15.35 18.63 0.13 0.00
15.36 18.69 0.14 0.00
15.37 18.70 0.14 0.00
15.38 18.53 0.14 0.00
15.39 18.32 0.14 0.00
15.4 18.17 0.14 0.00
15.41 18.15 0.14 0.00
15.42 18.35 0.14 0.00
15.43 18.75 0.13 0.00
15.44 19.65 0.13 0.00
15.45 20.37 0.13 0.00
15.46 21.02 0.12 0.00
15.47 21.61 0.13 0.00
15.48 21.83 0.14 0.00
15.49 21.91 0.14 0.00
15.5 21.95 0.15 0.00
15.51 21.94 0.15 0.00
15.52 21.97 0.15 0.00
15.53 22.00 0.14 0.00
15.54 22.08 0.14 0.00
15.55 22.11 0.13 0.00
15.56 22.10 0.13 0.00
15.57 21.94 0.14 0.00
15.58 22.02 0.15 0.00
15.59 22.29 0.15 0.00
15.6 22.84 0.15 0.00
15.61 23.18 0.14 0.00
15.62 23.42 0.14 0.00
15.63 23.78 0.15 0.00
15.64 24.03 0.15 0.00
15.65 24.26 0.14 0.00
15.66 24.38 0.15 0.00
15.67 24.39 0.15 0.00
15.68 24.35 0.16 0.00
15.69 24.24 0.17 0.00
15.7 24.06 0.17 0.00
15.71 23.96 0.17 0.00
15.72 23.94 0.17 0.00
15.73 24.07 0.18 0.00
15.74 24.20 0.18 0.00
15.75 24.30 0.18 0.00
15.76 24.39 0.19 0.00
15.77 24.54 0.19 0.00
15.78 24.69 0.18 0.00
15.79 24.80 0.18 0.00
15.8 24.78 0.18 0.00
15.81 24.76 0.18 0.00
15.82 24.49 0.18 0.00
15.83 24.30 0.18 0.00
15.84 24.03 0.18 0.00
15.85 23.75 0.18 0.00
15.86 23.62 0.18 0.00
15.87 23.60 0.18 0.00
15.88 23.67 0.18 0.00
15.89 23.83 0.18 0.00
15.9 24.17 0.17 0.00
15.91 24.41 0.17 0.00
15.92 24.60 0.17 0.00
15.93 24.81 0.17 0.00
15.94 24.87 0.17 0.00
15.95 24.81 0.17 0.00
15.96 24.53 0.16 0.00
15.97 24.29 0.16 0.00
15.98 23.97 0.15 0.00
15.99 23.51 0.15 0.00
16 23.13 0.15 0.00
16.01 22.43 0.15 0.00
16.02 21.88 0.15 0.00
16.03 21.26 0.15 0.00
16.04 20.51 0.14 0.00
16.05 19.06 0.14 0.00
16.06 17.49 0.13 0.00
16.07 15.47 0.13 0.00
16.08 12.15 0.14 0.00
16.09 10.93 0.14 0.00
16.1 9.64 0.13 0.00
16.11 8.30 0.13 0.00
16.12 7.15 0.13 0.00
16.13 6.26 0.13 0.00
16.14 5.36 0.13 0.00
16.15 4.47 0.12 0.00
16.16 3.94 0.12 0.00
16.17 3.41 0.12 0.00
16.18 3.00 0.12 0.00
16.19 2.66 0.12 0.00
16.2 2.52 0.12 0.00
16.21 2.38 0.12 0.00
16.22 2.26 0.12 0.00
16.23 2.01 0.12 0.00
16.24 1.86 0.12 0.00
16.25 1.77 0.11 0.00
16.26 1.72 0.10 0.00
16.27 1.67 0.09 0.00
16.28 1.60 0.08 0.00
16.29 1.55 0.07 0.00
16.3 1.50 0.06 0.00
16.31 1.48 0.06 0.00
16.32 1.35 0.04 0.00
16.33 1.28 0.03 0.00
16.34 1.21 0.03 0.00
16.35 1.16 0.02 0.00
16.36 1.11 0.01 0.00
16.37 1.07 0.01 0.00
16.38 1.06 0.01 0.00
16.39 1.05 0.01 0.00
16.4 1.20 0.01 0.00
16.41 1.60 0.01 0.00
16.42 2.82 0.01 0.00
16.43 4.86 0.01 0.00
16.44 8.26 0.01 0.00
16.45 9.94 0.02 0.00
16.46 11.18 0.03 0.00
16.47 12.23 0.03 0.00
16.48 12.82 0.03 0.00
16.49 13.47 0.03 0.00
16.5 14.11 0.03 0.00
16.51 15.19 0.04 0.00
16.52 16.02 0.04 0.00
16.53 16.91 0.05 0.00
16.54 18.13 0.06 0.00
16.55 18.78 0.06 0.00
16.56 19.33 0.06 0.00
16.57 20.09 0.07 0.00
16.58 20.49 0.07 0.00
16.59 20.82 0.07 0.00
16.6 21.07 0.07 0.00
16.61 21.36 0.08 0.00
16.62 21.48 0.09 0.00
16.63 21.55 0.09 0.00
16.64 21.57 0.10 0.00
16.65 21.48 0.12 0.00
16.66 21.33 0.12 0.00
16.67 21.18 0.13 0.00
16.68 21.02 0.14 0.00
16.69 20.93 0.15 0.00
16.7 20.92 0.15 0.00
16.71 20.93 0.16 0.00
16.72 20.92 0.17 0.00
16.73 20.92 0.17 0.00
16.74 20.94 0.17 0.00
16.75 20.88 0.17 0.00
16.76 20.66 0.17 0.00
16.77 20.36 0.17 0.00
16.78 19.96 0.17 0.00
16.79 19.49 0.16 0.00
16.8 18.96 0.16 0.00
16.81 18.15 0.16 0.00
16.82 17.58 0.16 0.00
16.83 17.00 0.16 0.00
16.84 16.45 0.16 0.00
16.85 15.93 0.16 0.00
16.86 15.16 0.15 0.00
16.87 14.74 0.15 0.00
16.88 14.33 0.15 0.00
16.89 13.90 0.14 0.00
16.9 13.53 0.14 0.00
16.91 12.89 0.14 0.00
16.92 12.45 0.13 0.00
16.93 11.98 0.13 0.00
16.94 11.49 0.13 0.00
16.95 10.77 0.12 0.00
16.96 10.32 0.11 0.00
16.97 9.89 0.11 0.00
16.98 9.50 0.11 0.00
16.99 9.11 0.10 0.00
17 8.57 0.10 0.00
17.01 8.22 0.10 0.00
17.02 7.89 0.09 0.00
17.03 7.58 0.09 0.00
