B      : 8        # foundation width
L      : 14       # foundation length
Df     : 1.5      # foundation embedment depth
Q      : 50 0.2   # Foundation bearing pressure q (kPa) and coefficient of variation covQ and number of percentiles
type   : Masonry  # building type (masonty,steel, timber, reinforced concrete)
wt     : 2        # Water table depth

# Soil Parameters (for Bullock et al. 2018)
LPC   : Yes      # Low permeability cap present above top susceptible layer?    
th1   : 2        # Non-susceptible crust thickness
th2   : 6        # Maximum continuous thickness of susceptible material in top B
N1    : 1        # Number of susceptible layers in top B    
N2    : 2        # Number of non-susceptible layers in top B
meth  : CPT      # Soil profile testing method
N160  : 9   0   0   0   0   0   0   0   0   0
qc1N  : nan nan nan nan nan nan nan nan nan nan
thick : 6   0   0   0   0   0   0   0   0   0
d2mat : 3.5 0   0   0   0   0   0   0   0   0

# CPT LOG (For Macedo, Bray 2017)
Depth qc fs u2
3.43 22.20 0.23 0.00
3.44 21.14 0.23 0.00
3.45 20.52 0.23 0.00
3.46 19.89 0.23 0.00
3.47 19.27 0.18 0.00
3.48 19.06 0.18 0.00
3.49 19.56 0.18 0.00
3.5 18.54 0.19 0.00
3.51 18.97 0.23 0.00
3.52 19.39 0.26 0.00
3.53 19.82 0.26 0.00
3.54 20.32 0.24 0.00
3.55 23.08 0.19 0.00
3.56 25.59 0.17 0.00
3.57 26.72 0.14 0.00
3.58 25.76 0.13 0.00
3.59 27.01 0.14 0.00
3.6 26.90 0.14 0.00
3.61 26.69 0.15 0.00
3.62 26.48 0.15 0.00
3.63 26.27 0.15 0.00
3.64 27.95 0.14 0.00
3.65 27.50 0.13 0.00
3.66 27.98 0.12 0.00
3.67 27.41 0.12 0.00
3.68 28.16 0.10 0.00
3.69 29.84 0.10 0.00
3.7 30.59 0.09 0.00
3.71 32.45 0.09 0.00
3.72 34.86 0.08 0.00
3.73 36.89 0.09 0.00
3.74 38.03 0.10 0.00
3.75 41.37 0.11 0.00
3.76 43.13 0.12 0.00
3.77 45.82 0.13 0.00
3.78 47.31 0.13 0.00
3.79 46.39 0.13 0.00
3.8 46.66 0.25 0.00
3.81 46.62 0.31 0.00
3.82 47.78 0.32 0.00
3.83 49.13 0.33 0.00
3.84 51.22 0.33 0.00
3.85 51.54 0.34 0.00
3.86 53.10 0.34 0.00
3.87 52.28 0.34 0.00
3.88 52.77 0.34 0.00
3.89 52.95 0.39 0.00
3.9 58.24 0.25 0.00
3.91 62.21 0.18 0.00
3.92 57.68 0.16 0.00
3.93 53.15 0.17 0.00
3.94 48.62 0.17 0.00
3.95 49.39 0.17 0.00
3.96 48.25 0.27 0.00
3.97 42.77 0.30 0.00
3.98 41.24 0.31 0.00
3.99 42.07 0.32 0.00
4 43.30 0.32 0.00
4.01 44.13 0.32 0.00
4.02 42.89 0.28 0.00
4.03 41.64 0.24 0.00
4.04 40.40 0.20 0.00
4.05 40.51 0.21 0.00
4.06 40.25 0.17 0.00
4.07 39.59 0.17 0.00
4.08 40.85 0.17 0.00
4.09 41.42 0.17 0.00
4.1 41.15 0.17 0.00
4.11 42.99 0.13 0.00
4.12 44.00 0.11 0.00
4.13 45.92 0.11 0.00
4.14 50.93 0.11 0.00
4.15 49.96 0.11 0.00
4.16 48.96 0.17 0.00
4.17 48.69 0.33 0.00
4.18 48.42 0.32 0.00
4.19 48.15 0.33 0.00
4.2 49.24 0.33 0.00
4.21 49.24 0.34 0.00
4.22 48.33 0.31 0.00
4.23 53.18 0.30 0.00
4.24 55.67 0.30 0.00
4.25 54.77 0.29 0.00
4.26 51.40 0.25 0.00
4.27 49.49 0.19 0.00
4.28 49.26 0.15 0.00
4.29 51.05 0.16 0.00
4.3 52.39 0.15 0.00
4.31 52.91 0.14 0.00
4.32 54.02 0.14 0.00
4.33 53.23 0.14 0.00
4.34 53.04 0.14 0.00
4.35 52.47 0.14 0.00
4.36 52.80 0.27 0.00
4.37 52.43 0.42 0.00
4.38 50.85 0.49 0.00
4.39 47.99 0.50 0.00
4.4 44.16 0.51 0.00
4.41 43.43 0.51 0.00
4.42 42.70 0.49 0.00
4.43 41.97 0.46 0.00
4.44 44.72 0.41 0.00
4.45 45.19 0.35 0.00
4.46 44.84 0.30 0.00
4.47 44.48 0.25 0.00
4.48 44.13 0.24 0.00
4.49 43.79 0.23 0.00
4.5 44.63 0.22 0.00
4.51 46.11 0.22 0.00
4.52 48.83 0.20 0.00
4.53 50.19 0.21 0.00
4.54 48.86 0.22 0.00
4.55 48.23 0.24 0.00
4.56 48.12 0.28 0.00
4.57 49.10 0.26 0.00
4.58 48.20 0.18 0.00
4.59 47.09 0.16 0.00
4.6 45.98 0.19 0.00
4.61 44.87 0.22 0.00
4.62 42.53 0.25 0.00
4.63 41.96 0.32 0.00
4.64 42.29 0.36 0.00
4.65 42.24 0.40 0.00
4.66 40.99 0.36 0.00
4.67 37.12 0.36 0.00
4.68 36.64 0.35 0.00
4.69 36.10 0.35 0.00
4.7 36.15 0.38 0.00
4.71 34.58 0.32 0.00
4.72 32.27 0.20 0.00
4.73 33.14 0.21 0.00
4.74 32.01 0.21 0.00
4.75 30.41 0.22 0.00
4.76 30.18 0.39 0.00
4.77 30.29 0.39 0.00
4.78 29.35 0.33 0.00
4.79 28.40 0.27 0.00
4.8 27.46 0.21 0.00
4.81 28.59 0.21 0.00
4.82 26.92 0.21 0.00
