0.01	0.704206421	0.228845157
0.01268961	0.729091631	0.232860247
0.01610262	0.754147335	0.236481418
0.020433597	0.779308076	0.239947687
0.025929438	0.804765116	0.243697316
0.032903446	0.830966974	0.248187517
0.041753189	0.858441896	0.253724503
0.052983169	0.886931823	0.25983298
0.067233575	0.91564422	0.265792375
0.085316785	0.979677234	0.283761675
0.108263673	1.091618645	0.318607039
0.13738238	1.237223003	0.365378513
0.174332882	1.411096015	0.430933843
0.221221629	1.536535998	0.503419342
0.28072162	1.551469973	0.566485213
0.356224789	1.443741785	0.59069553
0.452035366	1.301261636	0.580670922
0.573615251	1.131128785	0.568191907
0.727895384	0.948272367	0.560101764
0.923670857	0.699556599	0.558053128
1	0.589612051	0.589612051
1.172102298	0.524220564	0.464661143
1.487352107	0.478089337	0.279933179
1.887391822	0.391275393	0.193643843
2.39502662	0.303343979	0.132761568
3	0.236394462	0.090831742
